,MessageID,MessageType,MessageTimeLeft,MessageTimeReceived,MessageDelay,MessageRoute,MessageTarget,PrS1,PrS2,RealSender
14,2_5,Real,0.7793152645373953,1.8167981483864366,"[0.02629962080250931, 0.11521689552743167, 0.3943315385195288, 0.5279344498020808, 0]","[Client id: 2, ( id: 1, corrupt: False ), ( id: 6, corrupt: False ), ( id: 7, corrupt: False ), Client id: 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,2
15,4_5,Real,0.2677627692234797,1.8856453509827023,"[0.07177694469268087, 0.5386551345041038, 0.25057325349983406, 0.8286541937552846, 0]","[Client id: 4, ( id: 2, corrupt: False ), ( id: 4, corrupt: False ), ( id: 9, corrupt: False ), Client id: 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,4
16,5_7,Real,0.7406035655981403,1.9993027359507747,"[0.02125562126143392, 0.4888775754065607, 0.4398968140105408, 0.32992478093553285, 0]","[Client id: 5, ( id: 2, corrupt: False ), ( id: 6, corrupt: False ), ( id: 9, corrupt: False ), Client id: 8]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,5
17,6_12,Real,1.1934329185126975,2.0089461919381373,"[0.0855039426644992, 0.27513606022523157, 0.07007646544868967, 0.4703007477515188, 0]","[Client id: 6, ( id: 2, corrupt: False ), ( id: 4, corrupt: False ), ( id: 9, corrupt: False ), Client id: 3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,6
18,6_5,Real,0.5363631934697379,2.0343416135928414,"[0.11297729605976925, 0.8273265394605579, 0.25251244617106394, 0.41813943449148144, 0]","[Client id: 6, ( id: 2, corrupt: False ), ( id: 5, corrupt: False ), ( id: 9, corrupt: False ), Client id: 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,6
19,2_14,Real,1.2850047947927827,2.0435276874399,"[0.1014628252569519, 0.15362788074972042, 0.5457702030143544, 0.059124808883042515, 0]","[Client id: 2, ( id: 2, corrupt: False ), ( id: 4, corrupt: False ), ( id: 7, corrupt: False ), Client id: 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,2
20,2_2,Real,0.5589016331474764,2.0784520190930054,"[0.17015865786993775, 0.5887742263434671, 0.2746994833313364, 0.6560766762707254, 0]","[Client id: 2, ( id: 1, corrupt: False ), ( id: 6, corrupt: False ), ( id: 8, corrupt: False ), Client id: 7]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,2
21,6_6,Real,0.6622556112600695,2.1278420815161763,"[0.12589241779033158, 0.20504868642840826, 0.4064185171143853, 0.8541192667133132, 0]","[Client id: 6, ( id: 2, corrupt: False ), ( id: 5, corrupt: False ), ( id: 9, corrupt: False ), Client id: 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,6
22,7_10,Real,1.3091965186995471,2.191159744572944,"[0.2918262707433393, 0.026007602708976597, 0.8340805347862201, 0.0218750883782001, 0]","[Client id: 7, ( id: 3, corrupt: False ), ( id: 5, corrupt: False ), ( id: 9, corrupt: False ), Client id: 9]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,7
23,2_10,Real,1.0633489934319589,2.205633934715564,"[0.01800374901487364, 0.06915836747180007, 0.16669610784733682, 0.9064304659644681, 0]","[Client id: 2, ( id: 1, corrupt: False ), ( id: 6, corrupt: False ), ( id: 9, corrupt: False ), Client id: 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,2
24,9_2,Real,0.1430817339055567,2.2081286306257804,"[0.11474747879163814, 1.3549382294717967, 0.6753852606281602, 0.0347234066202667, 0]","[Client id: 9, ( id: 3, corrupt: False ), ( id: 4, corrupt: False ), ( id: 8, corrupt: False ), Client id: 2]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,9
25,3_6,Real,0.6352045643373453,2.254642355045239,"[0.15199056515549517, 0.7996017224796894, 0.4168193640284532, 0.40301670419975105, 0]","[Client id: 3, ( id: 2, corrupt: False ), ( id: 5, corrupt: False ), ( id: 9, corrupt: False ), Client id: 7]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,3
26,4_13,Real,0.8956093408488177,2.345807228377088,"[0.1448861263446852, 0.1845717393147048, 0.417287943471118, 0.8483382047424476, 0]","[Client id: 4, ( id: 3, corrupt: False ), ( id: 6, corrupt: False ), ( id: 8, corrupt: False ), Client id: 2]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.00012626262626262626,0.0,4
27,9_1,Real,0.02833425511391855,2.3497675014523804,"[0.02833425511391855, 1.1609288108255507, 0.5642455223150676, 0.5962589131978437, 0]","[Client id: 9, ( id: 1, corrupt: False ), ( id: 6, corrupt: False ), ( id: 8, corrupt: False ), Client id: 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.00012626262626262626,0.0,9
28,2_11,Real,1.098509358293737,2.363113248873719,"[0.0351603648617782, 0.4277977558893255, 0.18022597021555953, 0.6565801644750969, 0]","[Client id: 2, ( id: 1, corrupt: False ), ( id: 4, corrupt: False ), ( id: 9, corrupt: False ), Client id: 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.000101010101010101,0.0,2
29,9_8,Real,0.5615130246485951,2.386436579596077,"[0.16723932059651786, 1.3561721594434073, 0.16113492372122243, 0.3076164717828522, 0]","[Client id: 9, ( id: 2, corrupt: False ), ( id: 5, corrupt: False ), ( id: 7, corrupt: False ), Client id: 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,9
30,9_7,Real,0.39427370405207723,2.3924095402197607,"[0.057233343497886, 0.7431015680442592, 0.44949405993932073, 0.8055402081841035, 0]","[Client id: 9, ( id: 2, corrupt: False ), ( id: 6, corrupt: False ), ( id: 9, corrupt: False ), Client id: 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.000101010101010101,0.0,9
31,7_11,Real,1.3172980303011979,2.500763999392864,"[0.008101511601650726, 0.5118261053683204, 0.6134965898673428, 0.05814327385600298, 0]","[Client id: 7, ( id: 2, corrupt: False ), ( id: 5, corrupt: False ), ( id: 8, corrupt: False ), Client id: 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0006162626310693769,0.0007423012843759261,7
32,4_17,Real,1.613026810501423,2.5465260281132993,"[0.09405611802662384, 0.21359083168290222, 0.11891336948291145, 0.6009950164460626, 0]","[Client id: 4, ( id: 1, corrupt: False ), ( id: 4, corrupt: False ), ( id: 9, corrupt: False ), Client id: 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0013638383780506746,0.0009136575003968105,4
33,0_6,Real,0.6833457009820798,2.587603775014163,"[0.040695654863749556, 0.7399595874969821, 0.9018078053087513, 0.2624906812263503, 0]","[Client id: 0, ( id: 3, corrupt: False ), ( id: 6, corrupt: False ), ( id: 8, corrupt: False ), Client id: 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0009181687986550949,0.001012380024063483,0
34,2_7,Real,0.9243402871253062,2.5955421113783705,"[0.08733750005502243, 0.1938521393400938, 0.6123842633162806, 0.8649654215966899, 0]","[Client id: 2, ( id: 3, corrupt: False ), ( id: 4, corrupt: False ), ( id: 9, corrupt: False ), Client id: 7]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0018430662668758252,0.0011222840555140778,2
35,9_12,Real,1.7876057216668109,2.607122587199403,"[0.4219553915530817, 0.4335773058424503, 0.20723402619717782, 0.17870553349296397, 0]","[Client id: 9, ( id: 1, corrupt: False ), ( id: 6, corrupt: False ), ( id: 7, corrupt: False ), Client id: 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.001493130370181906,0.0011289543434427267,9
36,0_5,Real,0.6426500461183302,2.613662288442623,"[0.061383995985532215, 0.274506004107748, 0.16007274557104384, 1.5364334926455008, 0]","[Client id: 0, ( id: 1, corrupt: False ), ( id: 5, corrupt: False ), ( id: 9, corrupt: False ), Client id: 3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0018430662668758252,0.0011222840555140778,0
37,1_5,Real,0.6739364175153325,2.625280999213309,"[0.49153751286036257, 1.3306150672658088, 0.47838691224758345, 0.14234260218458467, 0]","[Client id: 1, ( id: 1, corrupt: False ), ( id: 6, corrupt: False ), ( id: 7, corrupt: False ), Client id: 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0014931303701819062,0.0011289543434427267,1
38,2_1,Real,0.3887429752775387,2.6320690472307273,"[0.3887429752775387, 0.4586594098966967, 0.8073642437199313, 0.9773024183365605, 0]","[Client id: 2, ( id: 1, corrupt: False ), ( id: 5, corrupt: False ), ( id: 9, corrupt: False ), Client id: 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0018430662668758252,0.0011222840555140778,2
39,9_4,Real,0.33204068390213415,2.6467031191091377,"[0.09621436220057744, 0.13679483955147195, 0.28151668272671804, 1.8963509129288136, 0]","[Client id: 9, ( id: 3, corrupt: False ), ( id: 4, corrupt: False ), ( id: 8, corrupt: False ), Client id: 8]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0009181687986550948,0.001012380024063483,9
