,MessageID,MessageType,MessageTimeLeft,MessageDelay,MessageRoute
4314,53_46,Real,42.82087476912418,"[4.262890599916688, 0.4288657526275882, 0.9393896133418671, 0.05962221460026994, 0]","[Client id: 53, ( id: 13, corrupt: False ), ( id: 14, corrupt: False ), ( id: 15, corrupt: False ), ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 13, corrupt: False ), ( id: 14, corrupt: False ), ( id: 15, corrupt: False ), Client id: 59]"
4315,11_56,Real,42.82523565819865,"[0.3882686436811167, 0.8299674591034856, 3.456211400754124, 0.9076955994442936, 0]","[Client id: 11, ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), ( id: 13, corrupt: False ), ( id: 14, corrupt: False ), ( id: 15, corrupt: False ), Client id: 44]"
4316,14_48,Real,42.83134807821867,"[0.22128194841856796, 0.5567885559750823, 0.7240118339164624, 1.646254965728873, 0]","[Client id: 14, ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 13, corrupt: False ), ( id: 14, corrupt: False ), ( id: 15, corrupt: False ), Client id: 65]"
4317,93_42,Real,42.83504311266931,"[0.7250540492865106, 1.6860136604230889, 4.1041769847614775, 3.4173438551538156, 0]","[Client id: 93, ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), Client id: 42]"
4318,45_43,Real,42.83895483224928,"[1.841299325551591, 0.9128293416010513, 2.2408873582385853, 1.1465268428488447, 0]","[Client id: 45, ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 16, corrupt: False ), ( id: 17, corrupt: False ), ( id: 18, corrupt: False ), Client id: 0]"
4319,3_44,Real,42.84079047976877,"[0.21950184214903476, 1.0485734412468415, 1.4569656074430781, 0.025395126530542794, 0]","[Client id: 3, ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), Client id: 45]"
4320,18_51,Real,42.849714248545006,"[0.6781630321703921, 3.2632267256516494, 0.40192841139861724, 0.6952178323256952, 0]","[Client id: 18, ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), Client id: 40]"
4321,68_39,Real,42.878457272961114,"[3.5972441977525267, 0.7516760851904976, 0.2527308103635256, 1.1093383056169979, 0]","[Client id: 68, ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), ( id: 13, corrupt: False ), ( id: 14, corrupt: False ), ( id: 15, corrupt: False ), ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), Client id: 70]"
4322,10_40,Real,42.901294814769386,"[2.65532310721228, 0.026043983953380097, 0.18400487659396939, 1.4372264595102502, 0]","[Client id: 10, ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 16, corrupt: False ), ( id: 17, corrupt: False ), ( id: 18, corrupt: False ), ( id: 16, corrupt: False ), ( id: 17, corrupt: False ), ( id: 18, corrupt: False ), Client id: 20]"
4323,32_52,Real,42.908441656274974,"[0.6442036236428617, 0.547023345045704, 0.5772182434766552, 0.0003651099652365556, 0]","[Client id: 32, ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), Client id: 57]"
4324,49_48,Real,42.91290028637601,"[0.4019078240179469, 1.1282742558173766, 0.41971146651321645, 1.0295544359156712, 0]","[Client id: 49, ( id: 13, corrupt: False ), ( id: 14, corrupt: False ), ( id: 15, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), Client id: 47]"
4325,76_39,Real,42.91852901338055,"[0.4148027733556901, 3.608057790416435, 0.3610154221786123, 0.3201581527783485, 0]","[Client id: 76, ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), Client id: 34]"
4326,34_44,Real,42.919009103948945,"[2.0927924673928078, 0.2234728907824428, 0.042501676360018954, 0.432893824752711, 0]","[Client id: 34, ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), Client id: 91]"
4327,97_45,Real,42.919781050984135,"[0.34630931037397, 0.7224169116889305, 1.015689383128372, 3.511478749023136, 0]","[Client id: 97, ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), Client id: 49]"
4328,1_40,Real,42.924500154779246,"[0.6930810312291611, 0.956427757826382, 0.6899140598155517, 1.2396466527549064, 0]","[Client id: 1, ( id: 13, corrupt: False ), ( id: 14, corrupt: False ), ( id: 15, corrupt: False ), ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), Client id: 22]"
4329,28_36,Real,42.93586968480026,"[0.16256885114708514, 2.503670935230998, 0.3507058894603874, 0.014857034889898365, 0]","[Client id: 28, ( id: 13, corrupt: False ), ( id: 14, corrupt: False ), ( id: 15, corrupt: False ), ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), Client id: 27]"
4330,89_31,Real,42.93723002919535,"[1.44973287730539, 1.6491441153654278, 2.652353298717518, 0.6190870102482089, 0]","[Client id: 89, ( id: 16, corrupt: False ), ( id: 17, corrupt: False ), ( id: 18, corrupt: False ), ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), Client id: 25]"
4331,43_54,Real,42.937963263715496,"[0.7188173496592734, 0.4654267867833521, 0.6056653003246155, 0.4826364009418928, 0]","[Client id: 43, ( id: 16, corrupt: False ), ( id: 17, corrupt: False ), ( id: 18, corrupt: False ), ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), ( id: 16, corrupt: False ), ( id: 17, corrupt: False ), ( id: 18, corrupt: False ), Client id: 74]"
4332,69_42,Real,42.96170912637494,"[1.777770955854818, 0.9457096345186352, 0.06808634087503651, 0.8576751102231177, 0]","[Client id: 69, ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), ( id: 16, corrupt: False ), ( id: 17, corrupt: False ), ( id: 18, corrupt: False ), ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), Client id: 84]"
4333,11_57,Real,42.97404597336738,"[0.1488103151687337, 0.12370298879425731, 0.6104296004065586, 0.9660328388943422, 0]","[Client id: 11, ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 13, corrupt: False ), ( id: 14, corrupt: False ), ( id: 15, corrupt: False ), ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), Client id: 3]"
4334,26_37,Real,42.975715526853485,"[1.060510754955133, 0.5680847319212193, 0.2696180788150465, 1.2810995374290794, 0]","[Client id: 26, ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), ( id: 13, corrupt: False ), ( id: 14, corrupt: False ), ( id: 15, corrupt: False ), ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), Client id: 74]"
